time,open,high,low,close,volume
2026-05-25T14:00:00Z,51075.661,51078.661,51052.661,51057.661,568.0
2026-05-25T14:05:00Z,51057.661,51070.661,51051.661,51067.661,438.0
2026-05-25T14:10:00Z,51067.661,51077.661,51066.661,51071.661,540.0
2026-05-25T14:15:00Z,51071.661,51088.661,51069.661,51083.661,500.0
2026-05-25T14:20:00Z,51083.661,51093.161,51073.661,51075.661,413.0
2026-05-25T14:25:00Z,51075.661,51089.661,51068.661,51089.661,423.0
2026-05-25T14:30:00Z,51089.661,51092.161,51062.661,51073.661,514.0
2026-05-25T14:35:00Z,51073.661,51083.661,51071.661,51074.661,371.0
2026-05-25T14:40:00Z,51074.661,51080.661,51065.661,51075.161,431.0
2026-05-25T14:45:00Z,51075.161,51097.661,51068.661,51093.661,524.0
2026-05-25T14:50:00Z,51093.661,51095.661,51073.661,51073.661,441.0
2026-05-25T14:55:00Z,51073.661,51077.661,51052.161,51054.661,504.0
2026-05-25T15:00:00Z,51054.661,51054.661,51026.66,51030.66,508.0
2026-05-25T15:05:00Z,51030.66,51031.66,51011.16,51022.66,454.0
2026-05-25T15:10:00Z,51022.66,51160.662,51019.66,51125.661,3525.0
2026-05-25T15:15:00Z,51125.661,51135.161,51098.661,51109.661,1315.0
2026-05-25T15:20:00Z,51109.661,51119.661,51072.161,51072.161,1035.0
2026-05-25T15:25:00Z,51072.161,51111.661,51063.161,51064.161,1181.0
2026-05-25T15:30:00Z,51064.161,51070.161,51043.16,51070.161,686.0
2026-05-25T15:35:00Z,51070.161,51072.161,51057.661,51059.161,466.0
2026-05-25T15:40:00Z,51059.161,51085.661,51055.161,51081.661,420.0
2026-05-25T15:45:00Z,51081.661,51097.161,51077.161,51094.161,375.0
2026-05-25T15:50:00Z,51094.161,51100.161,51083.661,51083.661,282.0
2026-05-25T15:55:00Z,51083.661,51091.161,51071.161,51083.661,263.0
2026-05-25T16:00:00Z,51083.661,51088.161,51061.661,51061.661,362.0
2026-05-25T16:05:00Z,51061.661,51061.661,51046.16,51052.661,363.0
2026-05-25T16:10:00Z,51052.661,51060.661,51050.661,51059.161,207.0
2026-05-25T16:15:00Z,51059.161,51068.161,51046.66,51046.66,234.0
2026-05-25T16:20:00Z,51046.66,51050.661,51033.16,51036.16,253.0
2026-05-25T16:25:00Z,51036.16,51036.66,51027.66,51030.16,270.0
2026-05-25T16:30:00Z,51030.16,51034.66,51023.16,51034.66,279.0
2026-05-25T16:35:00Z,51034.66,51039.16,51030.66,51038.66,187.0
2026-05-25T16:40:00Z,51038.66,51052.161,51031.66,51049.16,258.0
2026-05-25T16:45:00Z,51049.16,51074.661,51049.16,51073.661,462.0
2026-05-25T16:50:00Z,51073.661,51088.161,51044.66,51049.16,710.0
2026-05-25T16:55:00Z,51049.16,51091.661,51048.16,51090.661,781.0
2026-05-25T17:00:00Z,51090.661,51101.161,51084.561,51099.661,10.0
2026-05-25T17:10:00Z,51099.661,51100.661,51091.561,51096.661,5.0
2026-05-25T22:00:00Z,51096.661,51096.661,51030.44,51043.44,59.0
2026-05-25T22:05:00Z,51043.44,51057.691,51039.19,51050.19,433.0
2026-05-25T22:10:00Z,51050.19,51057.191,51034.44,51038.69,111.0
2026-05-25T22:15:00Z,51038.69,51039.19,51011.44,51017.69,103.0
2026-05-25T22:20:00Z,51017.69,51040.69,51016.19,51028.19,159.0
2026-05-25T22:25:00Z,51028.19,51035.19,51022.19,51024.69,148.0
2026-05-25T22:30:00Z,51024.69,51024.69,50999.69,50999.69,337.0
2026-05-25T22:35:00Z,50999.69,50999.69,50967.69,50969.19,386.0
2026-05-25T22:40:00Z,50969.19,51005.69,50965.69,51003.19,425.0
2026-05-25T22:45:00Z,51003.19,51009.19,50988.69,50991.69,375.0
2026-05-25T22:50:00Z,50991.69,50992.19,50973.19,50979.19,316.0
2026-05-25T22:55:00Z,50979.19,50984.19,50954.44,50974.19,548.0
2026-05-25T23:00:00Z,50974.19,50980.19,50963.69,50975.69,543.0
2026-05-25T23:05:00Z,50975.69,50979.69,50962.19,50965.19,219.0
2026-05-25T23:10:00Z,50965.19,50967.69,50944.689,50949.189,319.0
2026-05-25T23:15:00Z,50949.189,50953.69,50936.689,50952.19,445.0
2026-05-25T23:20:00Z,50952.19,50966.19,50944.689,50964.69,521.0
2026-05-25T23:25:00Z,50964.69,50970.19,50955.69,50966.69,210.0
2026-05-25T23:30:00Z,50966.69,50978.19,50966.69,50978.19,190.0
2026-05-25T23:35:00Z,50978.19,50980.19,50969.19,50974.19,239.0
2026-05-25T23:40:00Z,50974.19,50974.69,50960.69,50964.19,232.0
2026-05-25T23:45:00Z,50964.19,50985.69,50964.19,50982.69,395.0
2026-05-25T23:50:00Z,50982.69,50985.69,50962.69,50964.69,403.0
2026-05-25T23:55:00Z,50964.69,50972.69,50962.19,50968.69,261.0
2026-05-26T00:00:00Z,50968.69,50976.69,50928.689,50950.69,1386.0
2026-05-26T00:05:00Z,50950.69,50952.69,50905.689,50909.189,1077.0
2026-05-26T00:10:00Z,50909.189,50918.689,50902.689,50917.689,697.0
2026-05-26T00:15:00Z,50917.689,50934.189,50899.189,50912.689,1175.0
2026-05-26T00:20:00Z,50912.689,50918.689,50895.689,50900.189,817.0
2026-05-26T00:25:00Z,50900.189,50921.189,50895.189,50917.189,678.0
2026-05-26T00:30:00Z,50917.189,50949.689,50917.189,50947.689,746.0
2026-05-26T00:35:00Z,50947.689,50949.689,50933.689,50934.189,547.0
2026-05-26T00:40:00Z,50934.189,50936.689,50920.189,50922.689,587.0
2026-05-26T00:45:00Z,50922.689,50931.189,50913.189,50916.689,621.0
2026-05-26T00:50:00Z,50916.689,50917.189,50903.689,50915.189,456.0
2026-05-26T00:55:00Z,50915.189,50927.689,50914.689,50917.189,442.0
2026-05-26T01:00:00Z,50917.189,50923.189,50893.689,50895.189,847.0
2026-05-26T01:05:00Z,50895.189,50903.689,50890.189,50900.689,608.0
2026-05-26T01:10:00Z,50900.689,50934.689,50899.689,50932.189,609.0
2026-05-26T01:15:00Z,50932.189,50932.689,50912.189,50915.689,670.0
